2025-06-24 00:49:28,991 - __main__ - DEBUG - Логування налаштовано: DEBUG
2025-06-24 00:49:28,991 - __main__ - INFO - Логування налаштовано: INFO
2025-06-24 00:49:28,991 - __main__ - WARNING - Логування налаштовано: WARNING
2025-06-24 00:49:28,991 - __main__ - ERROR - Логування налаштовано: ERROR
2025-06-24 00:49:28,991 - __main__ - CRITICAL - Логування налаштовано: CRITICAL
2025-06-24 01:05:37,170 - __main__ - DEBUG - Логування налаштовано: DEBUG
2025-06-24 01:05:37,170 - __main__ - INFO - Логування налаштовано: INFO
2025-06-24 01:05:37,171 - __main__ - WARNING - Логування налаштовано: WARNING
2025-06-24 01:05:37,171 - __main__ - ERROR - Логування налаштовано: ERROR
2025-06-24 01:05:37,171 - __main__ - CRITICAL - Логування налаштовано: CRITICAL
2025-06-24 01:05:38,751 - __main__ - INFO - Гра запущена. Відображення головного меню.
2025-06-24 01:05:40,429 - __main__ - INFO - Завантажено рівень 1.
2025-06-24 01:05:41,408 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:41,427 - __main__ - DEBUG - FPS: 166.67, Frame Time: 6 ms
2025-06-24 01:05:41,441 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:41,459 - __main__ - DEBUG - FPS: 250.00, Frame Time: 4 ms
2025-06-24 01:05:41,474 - __main__ - DEBUG - FPS: 250.00, Frame Time: 4 ms
2025-06-24 01:05:41,491 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:41,509 - __main__ - DEBUG - FPS: 250.00, Frame Time: 4 ms
2025-06-24 01:05:41,524 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:41,542 - __main__ - DEBUG - FPS: 250.00, Frame Time: 4 ms
2025-06-24 01:05:41,558 - __main__ - DEBUG - FPS: 250.00, Frame Time: 4 ms
2025-06-24 01:05:41,574 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:41,592 - __main__ - DEBUG - FPS: 200.00, Frame Time: 5 ms
2025-06-24 01:05:41,607 - __main__ - DEBUG - FPS: 250.00, Frame Time: 4 ms
2025-06-24 01:05:41,623 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:41,640 - __main__ - DEBUG - FPS: 200.00, Frame Time: 5 ms
2025-06-24 01:05:41,656 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:41,676 - __main__ - DEBUG - FPS: 166.67, Frame Time: 6 ms
2025-06-24 01:05:41,690 - __main__ - DEBUG - FPS: 250.00, Frame Time: 4 ms
2025-06-24 01:05:41,706 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:41,724 - __main__ - DEBUG - FPS: 250.00, Frame Time: 4 ms
2025-06-24 01:05:41,740 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:41,758 - __main__ - DEBUG - FPS: 250.00, Frame Time: 4 ms
2025-06-24 01:05:41,773 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:41,789 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:41,805 - __main__ - DEBUG - FPS: 500.00, Frame Time: 2 ms
2025-06-24 01:05:41,823 - __main__ - DEBUG - FPS: 500.00, Frame Time: 2 ms
2025-06-24 01:05:41,841 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:41,857 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:41,874 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:41,890 - __main__ - DEBUG - FPS: 500.00, Frame Time: 2 ms
2025-06-24 01:05:41,907 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:41,923 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:41,939 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:41,956 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:41,973 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:41,989 - __main__ - DEBUG - FPS: 500.00, Frame Time: 2 ms
2025-06-24 01:05:42,006 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:42,022 - __main__ - DEBUG - Натиснута клавіша UP. Спроба стрибка.
2025-06-24 01:05:42,024 - __main__ - DEBUG - FPS: 250.00, Frame Time: 4 ms
2025-06-24 01:05:42,040 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:42,056 - __main__ - DEBUG - FPS: 500.00, Frame Time: 2 ms
2025-06-24 01:05:42,072 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:42,090 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:42,106 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:42,123 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:42,139 - __main__ - DEBUG - FPS: 500.00, Frame Time: 2 ms
2025-06-24 01:05:42,156 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:42,173 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:42,189 - __main__ - DEBUG - FPS: 250.00, Frame Time: 4 ms
2025-06-24 01:05:42,205 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:42,221 - __main__ - DEBUG - FPS: 500.00, Frame Time: 2 ms
2025-06-24 01:05:42,239 - __main__ - DEBUG - FPS: 500.00, Frame Time: 2 ms
2025-06-24 01:05:42,256 - __main__ - DEBUG - FPS: 250.00, Frame Time: 4 ms
2025-06-24 01:05:42,272 - __main__ - DEBUG - FPS: 500.00, Frame Time: 2 ms
2025-06-24 01:05:42,290 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:42,306 - __main__ - DEBUG - FPS: 500.00, Frame Time: 2 ms
2025-06-24 01:05:42,325 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:42,342 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:42,358 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:42,374 - __main__ - DEBUG - FPS: 500.00, Frame Time: 2 ms
2025-06-24 01:05:42,391 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:42,407 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:42,423 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:42,440 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:42,457 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:42,473 - __main__ - DEBUG - FPS: 500.00, Frame Time: 2 ms
2025-06-24 01:05:42,490 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:42,507 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:42,523 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:42,539 - __main__ - DEBUG - FPS: 500.00, Frame Time: 2 ms
2025-06-24 01:05:42,557 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:42,574 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
